                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.87176,                0.81175,                0.81769,                0.73531,                0.64816,                0.71622,                0.53791,                0.79443,                0.72083,                0.80701,               0.007195,               0.007195,               0.007195
                     88,                0.88131,                0.80533,                0.81529,                0.71633,                0.65433,                0.71675,                0.53945,                0.79539,                 0.7242,                0.80674,               0.007162,               0.007162,               0.007162
                     89,                0.88221,                0.79043,                0.81704,                0.70725,                0.66952,                 0.7201,                0.54136,                0.79132,                 0.7192,                0.80617,               0.007129,               0.007129,               0.007129
                     90,                0.87622,                0.80072,                0.81718,                0.72639,                0.65769,                0.71907,                0.54134,                0.79001,                0.71456,                 0.8071,               0.007096,               0.007096,               0.007096
                     91,                0.87948,                0.79409,                0.81542,                 0.7177,                0.66473,                0.71996,                0.54173,                  0.791,                0.71009,                0.80702,               0.007063,               0.007063,               0.007063
                     92,                0.87381,                0.79588,                0.81549,                0.71023,                0.66731,                0.71845,                0.53999,                0.79062,                0.71246,                0.80724,                0.00703,                0.00703,                0.00703
                     93,                0.86641,                0.79966,                 0.8141,                0.73934,                0.65038,                0.72454,                0.54499,                0.78882,                0.70912,                0.80728,               0.006997,               0.006997,               0.006997
                     94,                0.87242,                0.78035,                0.81876,                0.72669,                 0.6564,                0.72097,                0.54079,                0.79079,                0.70921,                0.80729,               0.006964,               0.006964,               0.006964
                     95,                0.86944,                0.77421,                0.81502,                0.72703,                0.65854,                0.72446,                0.54353,                0.78953,                0.70699,                0.80676,               0.006931,               0.006931,               0.006931
                     96,                0.85617,                0.77459,                0.81439,                0.71657,                0.66157,                0.72312,                0.54336,                 0.7876,                0.70613,                0.80669,               0.006898,               0.006898,               0.006898
                     97,                0.87341,                0.78242,                0.81423,                0.72502,                0.65674,                0.72443,                0.54506,                0.78706,                0.70271,                0.80622,               0.006865,               0.006865,               0.006865
                     98,                0.86646,                0.77995,                0.81303,                0.69771,                0.68334,                0.72835,                0.54943,                0.78688,                0.70102,                0.80677,               0.006832,               0.006832,               0.006832
                     99,                0.87605,                0.78583,                0.81741,                 0.7195,                0.66401,                0.72874,                0.54985,                0.78554,                0.70021,                0.80649,               0.006799,               0.006799,               0.006799
                    100,                0.87096,                 0.7681,                 0.8159,                0.71901,                0.67316,                0.73008,                0.55142,                0.78581,                0.70034,                0.80617,               0.006766,               0.006766,               0.006766
                    101,                 0.8586,                0.75693,                0.81321,                0.72869,                0.66901,                0.73104,                0.55294,                0.78476,                0.69763,                0.80621,               0.006733,               0.006733,               0.006733
                    102,                0.86693,                0.76159,                0.81485,                0.73117,                0.67807,                0.73117,                0.55256,                0.78306,                0.69409,                0.80626,                 0.0067,                 0.0067,                 0.0067
                    103,                0.85678,                0.75643,                0.81353,                0.73289,                0.67426,                0.73079,                0.55302,                0.78495,                0.69491,                 0.8063,               0.006667,               0.006667,               0.006667
                    104,                0.86574,                0.77026,                0.81402,                0.72264,                0.67779,                0.73326,                0.55387,                0.78527,                0.69328,                0.80636,               0.006634,               0.006634,               0.006634
                    105,                0.86439,                0.75506,                0.81337,                0.72563,                0.67464,                0.73274,                0.55274,                0.78584,                0.69441,                0.80611,               0.006601,               0.006601,               0.006601
                    106,                0.86202,                0.75278,                0.81633,                 0.7374,                0.66402,                0.73363,                0.55231,                0.78487,                0.69473,                0.80587,               0.006568,               0.006568,               0.006568
                    107,                0.85217,                0.75655,                0.81253,                0.77538,                 0.6427,                0.73503,                0.55463,                0.78332,                0.69099,                  0.806,               0.006535,               0.006535,               0.006535
                    108,                0.84257,                0.73702,                0.81179,                0.77926,                0.64102,                0.73772,                0.55685,                0.78333,                0.69001,                0.80588,               0.006502,               0.006502,               0.006502
                    109,                0.86131,                0.74268,                 0.8128,                0.77399,                0.64673,                 0.7405,                0.55873,                 0.7835,                 0.6831,                0.80595,               0.006469,               0.006469,               0.006469
